#DEFINITIONS,dc=http://purl.org/dc/elements/1.1/,,,,,,,,,,,,,,,,,
#dc:conformsTo,ami.it/dataformat,,,,,,,,,,,,,,,,,
#dc:identifier,DaLentiniAntonelli2008,,,# l'identificatore è una stringa corta ed univoca che verrà utilizzata identificare e per ordinare in ordine alfabetico il record,,,,,,,,,,,,,,
#dc:description,questa è una trascrizione fatta nel corso del progetto test@it,,,,,,,,,,,,,,,,,
#dc:author,Giacomo Da Lentini,,,# autore del componimento non del file,,,,,,,,,,,,,,
#dc:title,Rime,,,# titolo del componimento non del file,,,,,,,,,,,,,,
#dc:date,,,,# periodo in cui è stata scritta l'opera nel seguente formato: termine post quem/termine ante quem gg-mm-aaaa/gg-mm-aaa ,,,,,,,,,,,,,,
#dc:source,Antonelli 2008,,,"# l'edizione da cui è stato tratto il testo nel seguente formato cognomeautore-cognomeautore, anno",,,,,,,,,,,,,,
#dc:source,http://id.sbn.it/bid/UFE0862859,,,# perma link dal sto https://opac.sbn.it/ relativo all'edizione usata per compilare i dati,,,,,,,,,,,,,,
#dc:source,https://docs.google.com/spreadsheets/d/1pximtYYQ37Vc4g6m4h9Fpn8NX0TWwFhvIct4CoP6FWk/edit?usp=sharing,,,"# se si usa un foglio di calcolo, il link o il nome del foglio di calcolo",,,,,,,,,,,,,,
#dc:creator,Laura Facini,,,# autore principale della schedatura,,,,,,,,,,,,,,
#dc:contributor,,,,# eventuali collaboratori o correttori,,,,,,,,,,,,,,
#dc:provenance,Università di Ginevra,,,# l'affiliazione che ha inizialmente generato il dato,,,,,,,,,,,,,,
#dc:publisher,Gruppo Padovano di Stilistica,,,# l'ente responsabile della schedatura,,,,,,,,,,,,,,
#dc:dateSubmitted,12/04/2022,,,# data di invio del dato al respository,,,,,,,,,,,,,,
#dc:dateAccepted,,,,# data nella quale il dato viene integrato nella nuova release,,,,,,,,,,,,,,
sigla,sub,numero_del_verso,metro,schema_metrico,congedo,tipo_verso,trascrizione_verso,accento_01,accento_02,accento_03,accento_04,accento_05,accento_06,accento_07,accento_08,accento_09,accento_10,irregolarità
1,,47,canzone,abaC dbdC eef(f)G hhi(i)G,,7,e non è da blasmare,0,0,1,0,0,1,0,0,0,0,
1,,48,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,omo che cade in mare a che s’aprende.,1,0,0,1,0,1,0,0,0,1,
1,,49,canzone,abaC dbdC eef(f)G hhi(i)G,,7,Lo vostr’amor che m’ave,0,0,0,1,0,1,0,0,0,0,
1,,50,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"in mare tempestoso,",0,1,0,0,0,1,0,0,0,0,
1,,51,canzone,abaC dbdC eef(f)G hhi(i)G,,7,è sì como la nave,1,0,1,0,0,1,0,0,0,0,
1,,52,canzone,abaC dbdC eef(f)G hhi(i)G,,11,"c’a la fortuna getta ogni pesanti,",0,0,0,1,0,1,1,0,0,1,
1,,53,canzone,abaC dbdC eef(f)G hhi(i)G,,7,e campan per lo getto,0,1,0,0,0,1,0,0,0,0,
1,,54,canzone,abaC dbdC eef(f)G hhi(i)G,,7,di loco periglioso:,0,1,0,0,0,1,0,0,0,0,
1,,55,canzone,abaC dbdC eef(f)G hhi(i)G,,7,similemente eo getto,0,0,0,1,0,1,0,0,0,0,
1,,56,canzone,abaC dbdC eef(f)G hhi(i)G,,11,"a voi, bella, li mei sospiri e pianti,",0,1,1,0,0,1,0,1,0,1,
1,,57,canzone,abaC dbdC eef(f)G hhi(i)G,,7,che s’eo no li gittasse,0,1,0,0,0,1,0,0,0,0,
1,,58,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"parria che soffondasse,",0,1,0,0,0,1,0,0,0,0,
1,,59,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"e bene soffondara,",0,1,0,0,0,1,0,0,0,0,
1,,60,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,lo cor tanto gravara in suo disio;,0,1,1,0,0,1,0,0,0,1,
1,,61,canzone,abaC dbdC eef(f)G hhi(i)G,,7,che tanto frange a terra,0,1,0,1,0,1,0,0,0,0,
1,,62,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"tempesta che s’aterra,",0,1,0,0,0,1,0,0,0,0,
1,,63,canzone,abaC dbdC eef(f)G hhi(i)G,,7,ed eo così rinfrango:,0,1,0,1,0,1,0,0,0,0,
1,,64,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,quando sospiro e piango posar crio.,1,0,0,1,0,1,0,0,1,1,
1,,65,canzone,abaC dbdC eef(f)G hhi(i)G,,7,Assai mi son mostrato,0,1,0,0,0,1,0,0,0,0,
1,,66,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"a voi, bella spietata,",0,1,1,0,0,1,0,0,0,0,
1,,67,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"com’eo so’ innamorato,",0,1,0,0,0,1,0,0,0,0,
1,,68,canzone,abaC dbdC eef(f)G hhi(i)G,,11,ma creio ch’e’ dispiacerï’ a voi pinto.,0,1,0,1,0,0,0,1,0,1,
1,,69,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"Poi c’a me solo, lasso,",1,0,0,1,0,1,0,0,0,0,
1,,70,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"cotal ventura è data,",0,1,0,1,0,1,0,0,0,0,
1,,71,canzone,abaC dbdC eef(f)G hhi(i)G,,7,perché no mi ’nde lasso?,0,1,0,0,0,1,0,0,0,0,
1,,72,canzone,abaC dbdC eef(f)G hhi(i)G,,11,"Non posso, di tal guisa Amor m’à vinto.",0,1,0,0,0,1,0,1,0,1,
1,,73,canzone,abaC dbdC eef(f)G hhi(i)G,,7,Vorria c’or avenisse,0,1,1,0,0,1,0,0,0,0,
1,,74,canzone,abaC dbdC eef(f)G hhi(i)G,,7,che lo meo core ’scisse,0,0,0,1,0,1,0,0,0,0,
1,,75,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"come ’ncarnato tutto,",1,0,0,1,0,1,0,0,0,0,
1,,76,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,"e non facesse motto a voi, sdegnosa;",0,0,0,1,0,1,0,1,0,1,
1,,77,canzone,abaC dbdC eef(f)G hhi(i)G,,7,c’Amore a tal l’adusse,0,1,0,1,0,1,0,0,0,0,
1,,78,canzone,abaC dbdC eef(f)G hhi(i)G,,7,"ca, se vipera i fusse,",0,0,1,0,0,1,0,0,0,0,
1,,79,canzone,abaC dbdC eef(f)G hhi(i)G,,7,natura perderia:,0,1,0,0,0,1,0,0,0,0,
1,,80,canzone,abaC dbdC eef(f)G hhi(i)G,,7+4,"a tal lo vederia, fora pietosa.",0,1,0,0,0,1,1,0,0,1,
2,,1,canzonetta,abc abc ddc,,7,Meravigliosa-mente,0,0,0,0,0,1,0,0,0,0,
2,,2,canzonetta,abc abc ddc,,7,"un amor mi distringe,",0,0,1,0,0,1,0,0,0,0,
2,,3,canzonetta,abc abc ddc,,7,e soven ad ogn'ora.,0,0,1,0,0,1,0,0,0,0,
2,,4,canzonetta,abc abc ddc,,7,Com'omo che ten mente,0,1,0,0,0,1,0,0,0,0,
2,,5,canzonetta,abc abc ddc,,7,in altro exemplo pinge,0,1,0,1,0,1,0,0,0,0,
2,,6,canzonetta,abc abc ddc,,7,"la simile pintura,",0,1,0,0,0,1,0,0,0,0,
2,,7,canzonetta,abc abc ddc,,7,"così, bella, facc'eo,",0,1,1,0,0,1,0,0,0,0,
2,,8,canzonetta,abc abc ddc,,7,che 'nfra lo core meo,0,0,0,1,0,1,0,0,0,0,
2,,9,canzonetta,abc abc ddc,,7,porto la tua figura.,1,0,0,1,0,1,0,0,0,0,
2,,10,canzonetta,abc abc ddc,,7,In cor par ch'eo vi porti,0,1,1,0,0,1,0,0,0,0,
2,,11,canzonetta,abc abc ddc,,7,"pinta come parete,",1,0,1,0,0,1,0,0,0,0,
2,,12,canzonetta,abc abc ddc,,7,e non pare di fore;,0,0,1,0,0,1,0,0,0,0,
2,,13,canzonetta,abc abc ddc,,7,"o Deo, co' mi par forte",0,1,0,0,0,1,0,0,0,0,
2,,14,canzonetta,abc abc ddc,,7,"non so se vi savete,",0,1,0,0,0,1,0,0,0,0,
2,,15,canzonetta,abc abc ddc,,7,"com' v'amo di bon core,",0,1,0,0,0,1,0,0,0,0,
2,,16,canzonetta,abc abc ddc,,7,ca son sì vergognoso,0,1,0,0,0,1,0,0,0,0,
2,,17,canzonetta,abc abc ddc,,7,"ca pur vi guardo ascoso,",0,1,0,1,0,1,0,0,0,0,
2,,18,canzonetta,abc abc ddc,,7,e non vi mostro amore.,0,0,0,1,0,1,0,0,0,0,
2,,19,canzonetta,abc abc ddc,,7,"Avendo gran disio,",0,1,0,0,0,1,0,0,0,0,
2,,20,canzonetta,abc abc ddc,,7,"dipinsi una pintura,",0,1,0,0,0,1,0,0,0,0,
2,,21,canzonetta,abc abc ddc,,7,"bella, voi simigliante,",1,0,1,0,0,1,0,0,0,0,
2,,22,canzonetta,abc abc ddc,,7,e quando voi non vio,0,1,0,1,0,1,0,0,0,0,
2,,23,canzonetta,abc abc ddc,,7,guardo 'n quella figura,1,0,1,0,0,1,0,0,0,0,
2,,24,canzonetta,abc abc ddc,,7,e par ch'eo v'aggia avante:,0,1,0,1,0,1,0,0,0,0,
2,,25,canzonetta,abc abc ddc,,7,sì com’om che si crede,1,0,1,0,0,1,0,0,0,0,
2,,26,canzonetta,abc abc ddc,,7,"salvare per sua fede,",0,1,0,0,0,1,0,0,0,0,
2,,27,canzonetta,abc abc ddc,,7,ancor non via davante.,0,1,0,1,0,1,0,0,0,0,
2,,28,canzonetta,abc abc ddc,,7,"Al cor m'ard’una doglia,",0,1,1,0,0,1,0,0,0,0,
2,,29,canzonetta,abc abc ddc,,7,com' om che te•lo foco,0,1,0,1,0,1,0,0,0,0,
2,,30,canzonetta,abc abc ddc,,7,"a lo suo seno ascoso,",0,0,0,1,0,1,0,0,0,0,
